Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,ILF,EPP,FEZ
2018/4/17,118.9199982,57.77732468,127.75,162.4955597,255.6410828,105.6623993,18.35227394,107.2799988,34.19518661,42.2682724,38.70183182
2018/4/18,118.9199982,58.1680336,127.8499985,162.828125,255.8303986,105.6623993,18.55683517,111.0400009,34.92957306,42.59038544,38.8310585
2018/4/19,118.6900024,57.94885254,127.5999985,161.3313599,254.4111176,105.6719742,18.50813293,110.1600037,34.60828018,42.31301498,38.6833725
2018/4/20,118.0500031,57.83449936,126.6299973,158.7780304,252.2539215,105.6815567,18.36201477,110,34.33288193,41.95510864,38.57260895
2018/4/23,117.3399963,57.75826263,125.6200027,158.3768921,252.2160645,105.6815567,18.30356789,111.3600006,33.84634399,41.91931915,38.55415344
2018/4/24,117.5599976,57.5486145,126.2300034,155.021347,248.8193512,105.6911697,18.43994331,109.4400024,33.80044556,41.94616318,38.35109329
2018/4/25,116.9800034,57.72967529,125.4100037,155.2072144,249.4343872,105.6911697,18.56657791,109.7600021,33.42407227,41.85668945,38.30493927
2018/4/26,116.3399963,58.08226776,124.9700012,158.4747314,251.9700317,105.7007217,18.47890854,110.1600037,33.9932251,42.02669144,38.37878418
2018/4/27,116.5599976,57.92026901,125.5,158.5725555,252.206604,105.7198486,18.722435,109.8399963,34.13092422,42.20563889,38.48030472
2018/4/30,116.0400009,57.78685379,124.5899963,157.447525,250.266983,105.7198486,18.75165939,110.4000015,33.68110275,42.1698494,38.39722824
2018/5/1,115.2699966,57.73920822,123.7099991,159.2475891,250.7116699,105.7323074,18.97570419,108.8799973,33.20375061,42.31301498,38.18494415
2018/5/2,114.75,57.39614487,123.6500015,158.3084412,249.0275116,105.7323074,18.81984901,109.3600006,32.61623383,42.4740715,38.2495575
2018/5/3,115.1600037,57.45331955,124.2799988,158.2888641,248.4787445,105.7323074,19.03415298,110.5599976,32.27658081,42.62617493,38.33262253
2018/5/4,114.8899994,57.87261581,124.5400009,161.2922516,251.6956482,105.7515106,18.81984901,112.7200012,32.23985672,42.61722946,38.39722824
2018/5/7,114.5599976,57.93932724,124.5699997,162.6325073,252.547226,105.7611084,18.65424919,112.8000031,31.84512138,42.33090591,38.43416214
2018/5/8,113.9800034,58.12038422,124.5899963,162.4661865,252.547226,105.7515106,18.69321251,112.4800034,31.77168274,42.37564087,38.24032974
2018/5/9,113.8399963,57.62485123,124.3300018,164.2369232,254.9882507,105.7611084,18.54709816,114.9599991,31.97364426,42.49196625,38.37878418
2018/5/10,114.5699997,57.95838547,125.1800003,165.9391479,257.3725586,105.7706909,18.55683517,115.2799988,32.98343277,42.99303055,38.64645004
2018/5/11,114.7300034,58.39673996,125,165.7826385,258.1578674,105.7802887,18.45942688,114,32.51525879,43.18987656,38.61875916
2018/5/14,114.6600037,58.72074509,124.4899979,166.0663605,258.2809143,105.7706909,18.36201477,115.0400009,32.35001755,43.30619049,38.62799072
2018/5/15,113.7300034,58.12038422,122.4800034,164.2271271,256.5020752,105.7898865,18.26460457,115.1999969,32.04708099,42.79618454,38.32339478
2018/5/16,113.3700027,58.29191208,122.2900009,165.3130188,257.58078,105.7802887,18.28408813,115.6800003,32.30411911,43.06460953,38.25878906
2018/5/17,113.3000031,58.28238678,122.3600006,164.6771393,257.3631287,105.809082,18.17693329,115.9199982,31.36776543,42.90354919,38.38801193
2018/5/18,113.0299988,58.13944626,122.4100037,163.8260345,256.7197266,105.809082,18.38149834,115.4400024,30.78943443,42.68881226,38.2495575
2018/5/21,113.1999969,58.20615387,122.4800034,164.745636,258.6498413,105.7994766,18.4983902,117.3600006,30.73435974,43.270401,38.42493057
2018/5/22,113.1500015,58.07273483,122.4100037,164.5304108,257.9307861,105.7994766,18.60554314,116.4800034,31.27597237,43.14513397,38.46184921
2018/5/23,112.4100037,57.84403229,122.5400009,165.9196014,258.6404114,105.837822,18.79062653,116.0800018,30.92713547,42.80513,37.87111664
2018/5/24,112.5800018,57.49144745,123.5899963,165.8706512,258.1106262,105.837822,18.73217773,114.3199997,30.27536011,42.82302475,37.75114059
2018/5/25,111.9899979,57.30084991,123.2099991,166.036972,257.495575,105.8666229,18.85881233,109.4400024,29.91734314,42.68881226,37.33578491
2018/5/29,110.7699966,56.91966629,123.1900024,165.3032684,254.5341187,105.8953705,18.722435,108.0800018,28.71477699,42.21459198,35.99741364
2018/5/30,111.9700012,57.31991196,123.3700027,166.4869995,257.9307861,105.8762054,18.73217773,110.6399994,28.96263313,42.72460175,36.76350784
2018/5/31,112.2399979,56.92919922,123.0999985,166.3793793,256.3507385,105.8857727,18.71269417,108.4000015,28.81575203,42.52775192,36.56045151
2018/6/1,111.8899994,57.31991196,122.4899979,168.9914703,258.8675537,105.8838577,18.64450645,106,28.90755272,42.64406967,36.91119385
2018/6/4,112.3000031,57.6629715,122.3700027,170.5175934,260.0975037,105.8934708,18.19641685,104.9599991,29.35736847,42.96617889,37.10502625
2018/6/5,112.4599991,57.55814743,122.8499985,171.0458984,260.2868042,105.8934708,18.15744972,105.7600021,28.43937492,42.95723724,37.00349808
2018/6/6,113.0100021,57.80590439,122.9199982,172.0437469,262.4629211,105.8934708,18.245121,105.2799988,28.32003784,43.39566803,37.43730927
2018/6/7,113.2600021,57.80590439,122.8600006,170.6447754,262.4345093,105.9030609,18.09900475,106.8000031,27.3745079,43.10934448,37.11425781
2018/6/8,112.9599991,57.9774437,123.0100021,170.654541,263.2103577,105.912674,18.28408813,106.1600037,28.20987892,42.99303055,37.17886734
2018/6/11,113.1200027,58.15850449,123.2300034,171.1143951,263.5604553,105.9222794,18.07952118,106.8799973,27.96202087,43.11829376,37.64036942
2018/6/12,112.8099976,57.7963829,122.8199997,172.014389,263.901062,105.9222794,18.30356789,107.1999969,28.1272583,42.71565628,37.3634758
